,Title,Year,Duration,MPA,Rating,Votes,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
149,150. Miss Juneteenth,2020,1h 39m,Unrated,6.5,2200.0,111428.0,92349.0,20946.0,['Channing Godfrey Peoples'],['Channing Godfrey Peoples'],"['Nicole Beharie', 'Liz Mikel', 'Marcus M. Mauldin']",['Drama'],['United States'],"['Fort Worth, Texas, USA']","['Sailor Bear', 'Ley Line Entertainment']",['English'],0,34,0,2020
150,151. Leap,2020,2h 15m,Unrated,6.6,1500.0,25818882.0,83074.0,31174.0,['Peter Ho-Sun Chan'],['Ji Zhang'],"['Gong Li', 'Huang Bo', 'Gang Wu']","['Biography', 'Drama', 'Sport']",['China'],"['Beijing, China']","['Alibaba Pictures Group', 'Beijing Jinyi Jiayi Film Distribution', 'China Film Group Corporation (CFGC)']","['Mandarin', 'English', 'Japanese', 'Portuguese']",0,50,0,2020
151,152. Riverdance 25th Anniversary Show,2020,2h,Unrated,7.7,136000.0,1034004.0,81879.0,79862.0,['Chris Hunt'],[],"['Amy-Mae Dolan', 'Bobby Hodges', 'Brandon Asazawa']",['Musical'],[],"['Dublin, County Dublin, Ireland']","['Abhann Productions', 'Stagescreen Ltd.', 'Tyrone Productions']",['English'],0,0,0,2020
152,153. Undine,2020,1h 31m,Unrated,6.6,9800.0,1170267.0,78689.0,27065.0,['Christian Petzold'],['Christian Petzold'],"['Paula Beer', 'Franz Rogowski', 'Maryam Zaree']","['Drama', 'Fantasy', 'Mystery', 'Romance', 'Thriller']","['Germany', 'France']","['Marienheide, Oberbergisches Land, North Rhine-Westphalia, Germany']","['Schramm Film', 'Les Films du Losange', 'Zweites Deutsches Fernsehen (ZDF)']","['German', 'English', 'Spanish']",0,20,0,2020
153,154. Lumpia with a Vengeance,2020,1h 52m,Unrated,7.8,60000.0,78493.0,78493.0,16519.0,['Patricio Ginelsa'],"['Bernard Badion', 'Patricio Ginelsa', 'Christopher Santiago']","['Mark Muñoz', 'April Absynth', 'Danny Trejo']","['Action', 'Comedy']",['United States'],"['Daly City, California, USA']","['Kid Heroes Productions', 'Xylophone Films']",['English'],0,0,0,2020
154,155. Riders of Justice,2020,1h 56m,Unrated,7.5,68000.0,2001176.0,77115.0,15441.0,['Anders Thomas Jensen'],"['Anders Thomas Jensen', 'Nikolaj Arcel']","['Mads Mikkelsen', 'Nikolaj Lie Kaas', 'Andrea Heick Gadeberg']","['Dark Comedy', 'One-Person Army Action', 'Action', 'Comedy', 'Drama', 'Thriller']","['Denmark', 'Sweden', 'Finland']","['Skara, Sweden']","['Zentropa Entertainments', 'Film i Väst', 'Zentropa International Sweden']","['Danish', 'Arabic', 'Estonian']",0,34,0,2020
155,156. Pray: The Story of Patrick Peyton,2020,1h 11m,PG,6.7,59000.0,72347.0,72347.0,24397.0,['Jonathan Cipiti'],"['Matthew Donlan', 'Megan Harrington']","['Steve Gibson', 'Liam Gillard', 'David L. Guffey']","['Faith & Spirituality Documentary', 'Documentary']",['United States'],['Ireland'],"['Family Theater Productions', 'ODB Films', 'Windrider Productions']",['English'],0,0,0,2020
156,157. Summertime,2020,1h 35m,R,6.3,554000.0,72012.0,72012.0,21490.0,['Carlos López Estrada'],"['Paolina Acuña-González', 'Jason Alvarez', 'Austin Antoine']","['Austin Antoine', 'Marquesha Babers', 'Bryce Banks']","['Comedy', 'Drama', 'Music']",['United States'],[Global],['Los Angeles Media Fund (LAMF)'],['English'],0,6,0,2020
157,158. Summer of 85,2020,1h 41m,Unrated,6.9,14000.0,3610818.0,71788.0,9390.0,['François Ozon'],"['Aidan Chambers', 'François Ozon']","['Félix Lefebvre', 'Benjamin Voisin', 'Philippine Velge']","['Teen Drama', 'Teen Romance', 'Tragedy', 'Drama', 'Romance']","['France', 'Belgium']","['Le Tréport, Seine-Maritime, France']","['Mandarin Films', 'FOZ', 'France 2 Cinéma']","['French', 'English']",0,27,0,2020
158,159. The Killing of Two Lovers,2020,1h 25m,R,6.8,5600.0,113649.0,71162.0,25378.0,['Robert Machoian'],['Robert Machoian'],"['Clayne Crawford', 'Sepideh Moafi', 'Chris Coy']",['Drama'],['United States'],"['Kanosh, Utah, USA']","['Back40 Pictures', 'Sorø Films', 'Odd Man Out Cinema']",['English'],0,12,0,2020
159,160. Hard Luck Love Song,2020,1h 44m,R,5.3,564000.0,69746.0,69746.0,36718.0,['Justin Corsbie'],"['Justin Corsbie', 'Todd Snider', 'Craig Ugoretz']","['Michael Dorman', 'Sophia Bush', 'Dermot Mulroney']","['Dark Romance', 'Romance', 'Thriller']",['United States'],"['California, USA']","['Dime Box Entertainment', 'Synthetic Pictures']",['English'],0,0,0,2020
160,161. Wife of a Spy,2020,1h 55m,Unrated,6.6,3300.0,2292553.0,69464.0,7162.0,['Kiyoshi Kurosawa'],"['Ryûsuke Hamaguchi', 'Kiyoshi Kurosawa', 'Tadashi Nohara']","['Yû Aoi', 'Issei Takahashi', 'Masahiro Higashide']","['Drama', 'History', 'War']",['Japan'],"['Kobe, Hyôgo, Japan']","['C&I Entertainment', 'ENBU Seminar', 'Incline']","['Japanese', 'English']",0,9,0,2020
161,162. Salvatore: Shoemaker of Dreams,2020,1h 49m,PG,6.6,285000.0,150901.0,65970.0,6091.0,['Luca Guadagnino'],"[""Giuppy D'Aura"", 'Dana Thomas']","['Salvatore Ferragamo', 'Michael Stuhlbarg', 'Manolo Blahnik']",['Documentary'],['Italy'],['USA'],"['Frenesy Film Company', 'MeMo Films']","['Italian', 'English', 'French']",0,0,0,2020
162,163. Come True,2020,1h 45m,Unrated,6.0,12000.0,70459.0,62080.0,31090.0,['Anthony Scott Burns'],"['Anthony Scott Burns', 'Daniel Weissenberger']","['Julia Sarah Stone', 'Landon Liboiron', 'Carlee Ryski']","['Horror', 'Sci-Fi']",['Canada'],"['Edmonton, Alberta, Canada']",['Copperheart Entertainment'],['English'],0,11,0,2020
163,164. My Brothers' Crossing,2020,1h 38m,Unrated,3.2,141000.0,59395.0,59395.0,19386.0,['Ricky Borba'],['Edna Janeen White'],"['Daniel Roebuck', 'James Black', 'Paul Ben-Victor']",['Drama'],['United States'],"['Franklin County, Virginia, USA']",['Owlam Studios'],['English'],0,0,0,2020
164,165. Summerland,2020,1h 39m,PG,7.0,9900.0,1190062.0,58498.0,28881.0,['Jessica Swale'],['Jessica Swale'],"['Gemma Arterton', 'Gugu Mbatha-Raw', 'Penelope Wilton']","['Drama', 'Romance', 'War']",['United Kingdom'],"['Birling Gap, Seaford, East Sussex, UK']","['Quickfire Films', 'British Film Institute (BFI)', 'Embankment Films']",['English'],0,0,0,2020
165,166. The Dissident,2020,1h 59m,PG-13,7.8,31000.0,101993.0,57000.0,25000.0,['Bryan Fogel'],"['Mark Monroe', 'Bryan Fogel']","['Jamal Khashoggi', 'Omar Abdulaziz', 'Irfan Fidan']","['Crime', 'Documentary', 'Thriller']",['United States'],"['Istanbul, Turkey']","['Orwell Productions', 'Diamond Docs', 'Human Rights Foundation']","['Arabic', 'Turkish', 'English']",0,17,1,2020
166,167. Truman & Tennessee: An Intimate Conversation,2020,1h 26m,Unrated,7.2,230000.0,54817.0,54817.0,9050.0,['Lisa Immordino Vreeland'],[],"['Jim Parsons', 'Zachary Quinto', 'Carroll Baker']",['Documentary'],['United States'],[Global],"['Fischio Films', 'Peaceable Assembly']",['English'],0,0,0,2020
167,168. My Salinger Year,2020,1h 41m,R,6.5,7400.0,957592.0,54730.0,28851.0,['Philippe Falardeau'],"['Philippe Falardeau', 'Joanna Smith Rakoff', 'Catherine Kidd']","['Margaret Qualley', 'Sigourney Weaver', 'Douglas Booth']",['Drama'],"['Canada', 'Ireland']","['Montréal, Québec, Canada']","['micro_scope', 'Parallel Film Productions']","['English', 'French', 'Spanish']",0,13,0,2020
168,169. The Nowhere Inn,2020,1h 31m,Unrated,5.7,1600.0,62337.0,54094.0,19054.0,['Bill Benz'],"['Carrie Brownstein', 'St. Vincent']","['St. Vincent', 'Ezra Buzzington', 'Toko Yasuda']","['Comedy', 'Drama', 'Music', 'Thriller']",['United States'],[Global],"['Topic Studios', 'Ways & Means']",['English'],0,0,0,2020
169,170. Dara of Jasenovac,2020,2h 10m,R,8.1,82000.0,52786.0,52786.0,16710.0,['Predrag Antonijevic'],"['Natasa Drakulic', 'Tihomir Stanic', 'Stasa Petrovic']","['Biljana Cekic', 'Zlatan Vidovic', 'Anja Stanic']","['Drama', 'War']",['Serbia'],"['Kolut, Serbia']","['Dandelion Production Inc', 'Film Danas', 'Komuna']","['Serbian', 'German']",0,0,0,2020
170,171. Mogul Mowgli,2020,1h 29m,Unrated,6.6,3300.0,126324.0,52539.0,13388.0,['Bassam Tariq'],"['Riz Ahmed', 'Bassam Tariq']","['Riz Ahmed', 'Aiysha Hart', 'Anjana Vasan']","['Drama', 'Music']","['United Kingdom', 'United States']",[Global],"['Pulse Films', 'BBC Film', 'Cinereach']",[],0,9,1,2020
171,172. Miss Fisher & the Crypt of Tears,2020,1h 41m,TV-14,6.1,5100.0,2388346.0,51032.0,51032.0,['Tony Tilse'],"['Deb Cox', 'Kerry Greenwood']","['Essie Davis', 'Nathan Page', 'Rupert Penry-Jones']","['Cozy Mystery', 'Adventure', 'Drama', 'Mystery']",['Australia'],"['Oasis Studios Morocco, Commune de Tarmigt, Ouarzazate, Morocco']","['Every Cloud Productions', 'K Films']","['English', 'Arabic', 'French', 'Spanish']",0,0,0,2020
172,173. The Way I See It,2020,1h 40m,PG-13,8.2,1900.0,49030.0,49030.0,25150.0,['Dawn Porter'],[],"['Pete Souza', 'Barack Obama', 'Ben Rhodes']",['Documentary'],['United States'],[Global],"['Anomaly Content & Entertainment (ACE)', 'Jaywalker Pictures', 'Focus Features']",['English'],0,3,0,2020
173,174. Killer Raccoons! 2! Dark Christmas in the Dark!,2020,1h 36m,Unrated,4.2,182000.0,48591.0,48591.0,3472.0,['Travis Irvine'],['Travis Irvine'],"['Yang Miller', 'Ron Lynch', 'Tom Lyons']",['Comedy'],['United States'],"['Nelsonville, Ohio, USA']","['Overbites Pictures', 'Studio Vista']",['English'],0,0,0,2020
174,175. Nowhere Special,2020,1h 36m,Unrated,7.4,7700.0,764610.0,48330.0,15052.0,['Uberto Pasolini'],['Uberto Pasolini'],"['James Norton', 'Daniel Lamont', 'Carol Moore']",['Drama'],"['Italy', 'Romania', 'United Kingdom']","['Northern Ireland, UK']","['Redwave Films', 'Picomedia', 'Digital Cube']",['English'],0,9,0,2020
175,176. Enter the Fat Dragon,2020,1h 36m,TV-14,5.7,2300.0,46855.0,46855.0,22193.0,"['Kenji Tanigaki', 'Aman Chang']","['Jing Wong', 'Koon-Nam Lui', 'Kin-Hung Chan']","['Donnie Yen', 'Niki Chow', 'Teresa Sun-Kwan Mo']","['Martial Arts', 'Action', 'Comedy']",['Hong Kong'],"['Hong Kong, China']","['Bona Film Group', 'Mega-Vision Pictures (MVP)', 'Sun Entertainment Film Group']","['Cantonese', 'Japanese', 'English']",0,0,0,2020
176,177. MLK/FBI,2020,1h 44m,TV-PG,7.0,1800.0,91833.0,45200.0,21603.0,['Sam Pollard'],"['David Garrow', 'Benjamin Hedin', 'Laura Tomaselli']","['Shaun Bowman', 'Martin Luther King', 'J. Edgar Hoover']","['History Documentary', 'Biography', 'Documentary', 'History']",['United States'],[Global],"['Field of Vision (II)', 'Play/Action Pictures', 'Tradecraft Films']",['English'],0,17,0,2020
177,178. Solo Brathuke So Better,2020,2h 2m,Unrated,5.5,1500.0,129044.0,45000.0,35000.0,['Subbu'],['Subbu'],"['Sai Dharam Tej', 'Nabha Natesh', 'Kathryn Davison']",['Drama'],['India'],[Global],"['Sri Venkateswara Cine Chitra', 'Zee Studios']",['Telugu'],0,0,0,2020
178,179. Some Kind of Heaven,2020,1h 21m,Unrated,7.2,3700.0,53222.0,43492.0,9820.0,['Lance Oppenheim'],[],"['Dennis Dean', 'Lynn Henry', 'Anne Kincer']",['Documentary'],['United States'],"['The Villages, Florida, USA']","['30WEST', 'Los Angeles Media Fund (LAMF)', 'Protozoa Pictures']",['English'],0,10,0,2020
179,180. Little Fish,2020,1h 41m,Unrated,6.9,7700.0,39053.0,39053.0,21555.0,['Chad Hartigan'],"['Mattson Tomlin', 'Aja Gabel']","['Olivia Cooke', ""Jack O'Connell"", 'Soko']","['Drama', 'Romance', 'Sci-Fi']","['United States', 'Canada']","['Vancouver, British Columbia, Canada']","['Automatik Entertainment', 'Black Bear', 'Oddfellows Entertainment']",['English'],0,0,0,2020
180,181. Waikiki,2020,1h 17m,Unrated,5.8,127000.0,36471.0,36471.0,2185475.1598360655,['Christopher Kahunahana'],['Christopher Kahunahana'],"['Danielle Zalopany', 'Peter Shinkoda', 'Jason Quinn']",['Drama'],['United States'],[Global],"['Hula Girl Productions', 'Island Film Group', 'Kinetic Productions']","['English', 'Hawaiian']",0,0,0,2020
181,182. Falling for Figaro,2020,1h 44m,Unrated,6.5,4500.0,1073966.0,35910.0,14335.0,['Ben Lewin'],"['Ben Lewin', 'Allen Palmer']","['Christina Bennington', 'Danielle Macdonald', 'Shazad Latif']","['Comedy', 'Romance']","['United Kingdom', 'Australia', 'United States']","['Luss, Alexandria, Argyll and Bute, Scotland, UK']","['Such Much Films', '5 Name Films', 'Black Camel Pictures']","['English', 'Italian', 'French']",0,2,0,2020
182,183. Mainstream,2020,1h 34m,R,5.0,5600.0,49638.0,35696.0,19745.0,['Gia Coppola'],"['Tom Stuart', 'Gia Coppola']","['Andrew Garfield', 'Maya Hawke', 'Nat Wolff']","['Satire', 'Comedy', 'Drama']",['United States'],"['Los Angeles, California, USA']","['American Zoetrope', 'Artemis', 'Assemble Media']",['English'],0,2,0,2020
183,184. Juvenile Delinquents,2020,1h 58m,R,6.3,111000.0,39455.0,34292.0,1890.0,['Neil Goss'],['Neil Goss'],"['Phil Blevins', 'Moses Meads', 'Kaleal Cerafici']",['Drama'],['United States'],"['New York, USA']",['Big Bull Productions'],['English'],0,2,0,2020
184,185. Honeydew,2020,1h 46m,Unrated,4.4,2800.0,32890.0,32890.0,13767.0,['Devereux Milburn'],"['Devereux Milburn', 'Dan Kennedy']","['Barbara Kingsley', ""Stephen D'Ambrose"", 'William Aydelott']",['Horror'],['United States'],[Global],"['Little Sky Film', 'Rubber Road Productions']",['English'],0,0,0,2020
185,186. Hunter Hunter,2020,1h 33m,Unrated,6.4,14000.0,32705.0,32705.0,12010.0,['Shawn Linden'],['Shawn Linden'],"['Camille Sullivan', 'Summer H. Howell', 'Devon Sawa']","['Suspense Mystery', 'Drama', 'Horror', 'Mystery', 'Thriller']","['Canada', 'United States']","['Libau, Manitoba, Canada']","['Julijette', 'MarVista Entertainment', 'Particular Crowd']",['English'],0,3,0,2020
186,187. Nick Mason's Saucerful of Secrets: Live at the Roundhouse,2020,1h 55m,Unrated,8.2,77000.0,69967.0,32444.0,2185475.1598360655,['James Tonkin'],[],"['Gary Kemp', 'Nick Mason', 'Guy Pratt']",['Music'],[],[Global],"['Hangman', 'Sony Music']",[],0,0,0,2020
187,188. Counter Column,2020,1h 39m,PG-13,8.3,61000.0,32323.0,32323.0,6455.0,['Gilbert Sorola'],"['Matthew Jordan', 'Gilbert Sorola', 'Laura Starkey']","['Chris Gonzales', 'Nathan-Andrew Hight', 'Michael Kaiser']",['Drama'],['United States'],"['Texas, USA']",['Not That Kind of Movie Productions'],['English'],0,2,0,2020
188,189. Embattled,2020,1h 57m,R,6.5,3900.0,32259.0,32259.0,15141.0,['Nick Sarkisov'],"['David McKenna', 'Frank Ragen']","['Drew Starkey', 'Elizabeth Reaser', 'Drew Scheid']","['Action', 'Drama', 'Sport']",['United States'],"['Birmingham, Alabama, USA']","['Blitz Films', 'La Costa Productions', 'Wild League Productions']",['English'],0,0,0,2020
189,190. Monday,2020,1h 56m,R,5.7,5800.0,30932.0,30932.0,18767.0,['Argyris Papadimitropoulos'],"['Rob Hayes', 'Argyris Papadimitropoulos']","['Denise Gough', 'Sebastian Stan', 'Yorgos Pirpassopoulos']","['Feel-Good Romance', 'Drama', 'Romance']","['United Kingdom', 'United States', 'Greece']","['Athens, Greece']","['Protagonist Pictures', 'Wishmore', 'Faliro House Productions']","['English', 'Greek']",0,12,0,2020
190,191. Rent-A-Pal,2020,1h 48m,Unrated,6.3,6400.0,31053.0,30901.0,19650.0,['Jon Stevenson'],['Jon Stevenson'],"['Brian Landis Folkins', 'Wil Wheaton', 'Kathleen Brady']","['Horror', 'Thriller']",['United States'],"['Denver, Colorado, USA']",['Pretty People Pictures'],['English'],0,4,0,2020
191,192. Mama Weed,2020,1h 44m,Unrated,6.3,3700.0,5461144.0,29151.0,8891.0,['Jean-Paul Salomé'],"['Hannelore Cayre', 'Jean-Paul Salomé', 'Antoine Salomé']","['Isabelle Huppert', 'Yann Sundberg', 'Michaël Louchart']","['Comedy', 'Crime', 'Drama']","['France', 'Belgium']","['Paris, France']","['Les Films du Lendemain', 'La Boétie Films', 'Le Pacte']","['French', 'Arabic', 'Yiddish', 'Chinese']",0,0,0,2020
192,193. Spree,2020,1h 33m,Unrated,5.9,18000.0,51849.0,28771.0,20480.0,['Eugene Kotlyarenko'],"['Gene McHugh', 'Eugene Kotlyarenko']","['Joe Keery', 'David Arquette', 'Joshua Ovalle']","['Dark Comedy', 'Found Footage Horror', 'Serial Killer', 'Slasher Horror', 'Comedy', 'Crime', 'Horror', 'Thriller']",['United States'],"['Azusa, California, USA']","['Dreamcrew', 'Forest Hill Entertainment', 'SuperBloom Films']",['English'],0,0,0,2020
193,194. Holler,2020,1h 30m,R,6.2,1600.0,28706.0,28706.0,12026.0,['Nicole Riegel'],['Nicole Riegel'],"['Pamela Adlon', 'Austin Amelio', 'Becky Ann Baker']","['Coming-of-Age', 'Teen Drama', 'Drama']",['United States'],"['Jackson, Ohio, USA']","['Hunting Lane Films', 'Feigco Entertainment', 'Level Forward']",['English'],0,5,0,2020
194,195. Bloody Hell,2020,1h 33m,R,6.6,11000.0,72147.0,28037.0,13144.0,['Alister Grierson'],['Robert Benjamin'],"[""Ben O'Toole"", 'Meg Fraser', 'Caroline Craig']","['Comedy', 'Horror', 'Mystery', 'Thriller']",['Australia'],"['Gold Coast, Queensland, Australia']","['Heart Sleeve Productions', 'Eclectik Vision']","['English', 'Finnish']",0,0,0,2020
195,196. The Night,2020,1h 45m,Unrated,5.5,3600.0,97500.0,26114.0,11010.0,['Kourosh Ahari'],"['Kourosh Ahari', 'Milad Jarmooz']","['Shahab Hosseini', 'Niousha Noor', 'Leah Oganyan']","['Horror', 'Mystery', 'Thriller']",['United States'],"['Los Angeles, California, USA']","['Mammoth Pictures', 'Indie Entertainment', 'Orama Filmworks']","['English', 'Persian']",0,0,0,2020
196,197. The Violent Heart,2020,1h 47m,Unrated,6.2,973000.0,24246.0,24246.0,2185475.1598360655,['Kerem Sanga'],['Kerem Sanga'],"['Jovan Adepo', 'Grace Van Patten', 'Lukas Haas']","['Drama', 'Thriller']",['United States'],[Global],"['21 Laps Entertainment', '3311 Productions', 'Fifth Season']",['English'],0,0,0,2020
197,198. Heart of Africa,2020,1h 30m,Unrated,7.1,48000.0,24139.0,24139.0,19697.0,['Tshoper Kabambi'],"['Tshoper Kabambi', 'Margaret B. Young', 'Margaret Blair Young']","['Moyindo Mpongo', 'Brandon Ray Olive', 'Elbas Manuana']",['Drama'],['The Democratic Republic of Congo'],[Global],['Bimpa Production'],"['French', 'Lingala', 'English']",0,0,0,2020
198,199. Tar,2020,1h 36m,Unrated,3.8,4200.0,22307.0,22307.0,1469.0,['Aaron Wolf'],"['Timothy Nuttall', 'Aaron Wolf']","['Timothy Bottoms', 'Graham Greene', 'Aaron Wolf']","['Adventure', 'Horror', 'Thriller']",['United States'],[Global],"['Blacktop Productions', 'Howling Wolf Productions']",['English'],0,0,0,2020
199,200. A Soldier's Story 2: Return from the Dead,2020,1h 45m,Unrated,4.9,60000.0,21543.0,21543.0,2185475.1598360655,['Frankie Ogar'],['Frankie Ogar'],"['Eric Roberts', 'John J. Vogel', 'Daniel K. Daniel']",['Action'],['Nigeria'],"['Lagos, Nigeria']","['Frankie Ogar Films', 'Mekdoss Prodcutions']",['English'],0,0,0,2020
200,201. Mandibles,2020,1h 17m,Unrated,6.6,6800.0,2044742.0,19913.0,7346.0,['Quentin Dupieux'],['Quentin Dupieux'],"['Grégoire Ludig', 'David Marsais', 'Adèle Exarchopoulos']","['Dark Comedy', 'Comedy', 'Fantasy']","['France', 'Belgium']","['Cavalaire-sur-Mer, Var, France']","['Chi-Fou-Mi Productions', 'Memento Films Production', 'C8 Films']",['French'],0,4,0,2020
201,202. Sputnik,2020,1h 53m,Unrated,6.4,28000.0,354023.0,18853.0,11024.0,['Egor Abramenko'],"['Oleg Malovichko', 'Andrey Zolotarev']","['Oksana Akinshina', 'Fedor Bondarchuk', 'Pyotr Fyodorov']","['Monster Horror', 'Space Sci-Fi', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",['Russia'],[Global],"['Art Pictures Studio', 'Hype Film', 'Vodorod']","['Russian', 'Latin']",0,16,0,2020
202,203. Frank and Ava,2020,1h 50m,Unrated,3.4,214000.0,18829.0,18829.0,3080.0,['Michael Oblowitz'],"['Willard Manus', 'Rico Simonini']","['Rico Simonini', 'Emily Elicia Low', 'Harry Dean Stanton']","['Biography', 'Drama', 'History']",['United States'],"['Rome, Lazio, Italy']","['8th House Entertainment', 'All Edge Entertainment', 'AllEdge Entertainment']",['English'],0,3,0,2020
203,204. The Rescue,2020,2h 19m,R,6.0,1100.0,64237554.0,18797.0,9674.0,['Dante Lam'],"['Maria Wong', 'Tan Yuli', 'Yaqing Zhi']","['Eddie Peng', 'Yanlin Wang', 'Zhilei Xin']","['Action', 'Comedy', 'Drama', 'Thriller']","['Hong Kong', 'China']",[Global],"['China Modern Film and Television Development', 'Film Fireworks', 'Mokexing Film']",['Mandarin'],0,0,0,2020
204,205. Shithouse,2020,1h 40m,R,6.9,7100.0,18370.0,18370.0,5545.0,['Cooper Raiff'],['Cooper Raiff'],"['Cooper Raiff', 'Dylan Gelula', 'Amy Landecker']","['Coming-of-Age', 'Feel-Good Romance', 'Quirky Comedy', 'Comedy', 'Drama', 'Romance']",['United States'],"['Los Angeles, California, USA']",['CMR Productions'],['English'],0,4,0,2020
205,206. Never Rarely Sometimes Always,2020,1h 41m,PG-13,7.4,32000.0,299588.0,16565.0,16285.0,['Eliza Hittman'],['Eliza Hittman'],"['Sidney Flanigan', 'Talia Ryder', 'Théodore Pellerin']","['Coming-of-Age', 'Drama']","['United States', 'United Kingdom']","['Pennsylvania, USA']","['PASTEL', 'BBC Film', 'Focus Features']",['English'],0,119,0,2020
206,207. Centigrade,2020,1h 29m,Unrated,4.4,3700.0,31808.0,16263.0,6480.0,['Brendan Walsh'],"['Daley Nixon', 'Brendan Walsh']","['Genesis Rodriguez', 'Vincent Piazza', 'Benjamin Sokolow']","['Drama', 'Thriller']",['United States'],[Global],"['Manhattan Productions', 'Phiphen Pictures']",['English'],0,0,0,2020
207,208. Equal Standard,2020,1h 41m,Unrated,5.0,629000.0,15938.0,15938.0,15938.0,['Brendan Kyle Cochrane'],['Taheim Bryan'],"['Myles Clohessy', 'Ice-T', 'Robert Clohessy']","['Action', 'Crime']",['United States'],"['Queens, New York, USA']","['Digital Seven', 'First Born Production', 'Juliet Echo Productions']",['English'],0,0,0,2020
208,209. Never Gonna Snow Again,2020,1h 56m,Unrated,6.4,2800.0,167977.0,15901.0,2828.0,"['Malgorzata Szumowska', 'Michal Englert']","['Michal Englert', 'Malgorzata Szumowska']","['Alec Utgoff', 'Maja Ostaszewska', 'Agata Kulesza']","['Dark Comedy', 'Satire', 'Comedy', 'Drama', 'Mystery']","['Poland', 'Germany', 'Netherlands']","['Walendów, Mazowieckie, Poland']","['Lava Films', 'The Match Factory', 'Maziowiecki Fundusz Filmowy']","['Polish', 'Russian', 'French', 'Vietnamese']",0,23,0,2020
209,210. No Ordinary Man,2020,1h 23m,Unrated,6.9,410000.0,15508.0,15508.0,2185475.1598360655,"['Aisling Chin-Yee', 'Chase Joynt']","['Aisling Chin-Yee', 'Amos Mac']","['Billy Tipton Jr.', 'Holden Bernstein', 'Kate Bornstein']","['Biography', 'Documentary', 'Music']",['Canada'],"['Spokane, Washington, USA']",['Parabola Films'],['English'],0,6,0,2020
210,211. Zappa,2020,2h 9m,Unrated,7.5,3800.0,220031.0,15502.0,2019.0,['Alex Winter'],[],"['Frank Zappa', 'Lonnie Lardner', 'Patrice Zappa']","['Biography', 'Documentary', 'History', 'Music']","['United States', 'United Kingdom']","['Los Angeles, California, USA']","['Trouper Productions', 'Zipper Bros Films']",['English'],0,0,0,2020
211,212. American Deep State,2020,2h 19m,PG-13,7.7,588000.0,15269.0,15269.0,15269.0,['Bernie Olaf'],['Bernie Olaf'],"['Betty Adams', 'William Barr', 'Hunter Biden']",['Documentary'],['United States'],"['Washington, District of Columbia, USA']",['Strasson Group'],['English'],0,0,0,2020
212,213. Cicada,2020,1h 36m,Unrated,6.6,1200.0,52131.0,13370.0,3101.0,"['Matthew Fifer', 'Kieran Mulcare']","['Matthew Fifer', 'Sheldon D. Brown']","['Matthew Fifer', 'Sheldon D. Brown', 'Sandra Bauleo']","['Drama', 'Romance']",['United States'],[Global],"['rubbertape', 'Beast of the East Productions']",['English'],0,5,0,2020
213,214. Stray,2020,1h 12m,Unrated,6.9,1800.0,54183.0,13325.0,4671.0,['Elizabeth Lo'],['Elizabeth Lo'],"['Zeytin', 'Nazar', 'Kartal']",['Documentary'],['United States'],"['Istanbul, Turkey']",[],[],0,10,0,2020
214,215. The Meaning of Hitler,2020,1h 32m,Unrated,6.3,504000.0,12804.0,12804.0,4976.0,"['Petra Epperlein', 'Michael Tucker']","['Michael Tucker', 'Sebastian Haffner']","['Matilda Tucker', 'Martin Amis', 'Adolf Hitler']",['Documentary'],['United States'],"['Berlin, Germany']","['Play/Action Pictures', 'Uwaga Films']","['English', 'German']",0,0,0,2020
215,216. Lorelei,2020,1h 51m,Unrated,6.4,2600.0,12642.0,12642.0,2185475.1598360655,['Sabrina Doyle'],['Sabrina Doyle'],"['Jena Malone', 'Pablo Schreiber', 'Ryan Findley']",['Drama'],['United States'],"['Portland, Oregon, USA']",['Freestyle Picture Company'],['English'],0,13,0,2020
216,217. Adverse,2020,1h 34m,R,4.2,16000.0,15443.0,12589.0,7788.0,['Brian A. Metcalf'],['Brian A. Metcalf'],"['Thomas Ian Nicholas', 'Mickey Rourke', 'Penelope Ann Miller']","['Crime', 'Thriller']",['United States'],[Global],"['Black Jellybeans', 'Potato Eater Productions', 'Red Compass Media']",['English'],0,7,0,2020
217,218. Sweat,2020,1h 46m,Unrated,6.6,4100.0,11546.0,11546.0,966.0,['Magnus von Horn'],['Magnus von Horn'],"['Magdalena Kolesnik', 'Julian Swiezewski', 'Aleksandra Konieczna']",['Drama'],"['Poland', 'Sweden']","['Warsaw, Mazowieckie, Poland']","['Lava Films', 'Zentropa International Sweden', 'Film i Väst']","['Polish', 'English']",0,18,0,2020
218,219. Twiceborn,2020,2h 15m,PG,4.2,45000.0,5880157.0,11527.0,5217.0,['Hiroshi Akabane'],"['Ryuho Okawa', 'Sayaka Okawa']","['Hiroaki Tanaka', 'Fumika Shimizu', 'Nao Hashegawa']",['Drama'],['Japan'],[Global],['IRH Press Co.'],['English'],0,3,0,2020
